soil_ph,soil_moisture,temperature,rainfall,humidity,crop_type
6.5,20,25,200,60,Wheat
7.0,30,35,150,70,Rice
5.5,40,20,300,80,Barley
6.0,50,35,250,90,Maize
7.5,45,30,280,75,Sugarcane
6.8,35,28,180,65,Wheat
6.2,25,32,220,70,Rice
5.8,38,22,320,85,Barley
6.3,48,30,260,88,Maize
7.2,42,29,290,77,Sugarcane
6.6,33,27,190,63,Wheat
6.9,28,34,210,72,Rice
5.4,42,21,310,83,Barley
6.1,52,33,240,92,Maize
7.4,47,32,270,73,Sugarcane
6.7,36,26,195,68,Wheat
6.4,31,36,230,74,Rice
5.7,39,24,330,87,Barley
6.5,49,31,255,89,Maize
7.1,43,28,285,76,Sugarcane
6.6,39,26,200,60,Wheat
6.8,31,35,150,70,Rice
5.9,40,19,300,80,Barley
6.2,52,35,250,90,Maize
7.5,44,30,280,75,Sugarcane
6.7,36,27,180,65,Wheat
6.3,26,31,220,70,Rice
5.7,38,23,320,85,Barley
6.4,48,30,260,88,Maize
7.2,41,29,290,77,Sugarcane
6.6,32,27,190,63,Wheat
6.9,27,34,210,72,Rice
5.5,43,20,310,83,Barley
6.1,51,33,240,92,Maize
7.4,46,32,270,73,Sugarcane
6.8,37,26,195,68,Wheat
6.5,32,36,230,74,Rice
5.8,39,25,330,87,Barley
6.7,50,31,255,89,Maize
7.1,42,28,285,76,Sugarcane
6.7,38,26,200,60,Wheat
6.9,30,35,150,70,Rice
5.6,40,19,300,80,Barley
6.3,52,35,250,90,Maize
7.6,45,30,280,75,Sugarcane
6.5,35,27,180,65,Wheat
6.1,27,31,220,70,Rice
5.9,37,23,320,85,Barley
6.6,47,30,260,88,Maize
7.3,41,29,290,77,Sugarcane
6.5,31,27,190,63,Wheat
6.8,26,34,210,72,Rice
5.4,43,20,310,83,Barley
6.0,51,33,240,92,Maize
7.5,46,32,270,73,Sugarcane
6.9,39,26,195,68,Wheat
6.4,32,36,230,74,Rice
5.7,38,24,330,87,Barley
6.4,49,31,255,89,Maize
7.2,43,28,285,76,Sugarcane
6.5,39,26,200,60,Wheat
6.7,31,35,150,70,Rice
5.8,40,19,300,80,Barley
6.2,52,35,250,90,Maize
7.4,44,30,280,75,Sugarcane
6.6,36,27,180,65,Wheat
6.3,26,31,220,70,Rice
5.7,39,23,320,85,Barley
6.4,48,30,260,88,Maize
7.2,42,29,290,77,Sugarcane
6.7,33,27,190,63,Wheat
6.9,28,34,210,72,Rice
5.4,42,20,310,83,Barley
6.1,51,33,240,92,Maize
7.4,47,32,270,73,Sugarcane
6.7,36,26,195,68,Wheat
6.4,31,36,230,74,Rice
5.7,39,24,330,87,Barley
6.5,49,31,255,89,Maize
7.1,43,28,285,76,Sugarcane
6.6,39,26,200,60,Wheat
6.8,31,35,150,70,Rice
5.9,40,19,300,80,Barley
6.2,52,35,250,90,Maize
7.5,44,30,280,75,Sugarcane
6.7,36,27,180,65,Wheat
6.3,26,31,220,70,Rice
5.7,38,23,320,85,Barley
6.4,48,30,260,88,Maize
7.2,41,29,290,77,Sugarcane
6.6,32,27,190,63,Wheat
6.9,27,34,210,72,Rice
5.5,43,20,310,83,Barley
6.1,51,33,240,92,Maize
7.4,46,32,270,73,Sugarcane
6.8,37,26,195,68,Wheat
6.5,32,36,230,74,Rice
5.8,39,25,330,87,Barley
6.7,50,31,255,89,Maize
7.1,42,28,285,76,Sugarcane
6.7,38,26,200,60,Wheat
6.9,30,35,150,70,Rice
5.6,40,19,300,80,Barley
6.3,52,35,250,90,Maize
7.6,45,30,280,75,Sugarcane
